contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School Klavervier,0209::SB1,6641 ST,1509,1056,0,2,0,0,1,978,79,0,0,0,0,0,0,1058,226,47,202,167,70,117,16,90,2,35,38,2,2,11,1,21,0,0,1,2,2,2,0,0,2,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Theater De Molen,0209::SB2,6641 BK,1406,1293,0,0,0,0,8,1174,111,0,0,0,0,0,0,1293,355,73,175,134,208,153,15,85,2,21,32,1,7,2,1,23,0,0,0,4,1,1,0,0,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School Dromedaris,0209::SB3,6642 CM,1668,1601,1,5,0,0,3,1446,158,0,0,0,0,0,0,1607,634,81,169,98,193,226,10,85,0,31,42,1,5,4,0,20,0,0,1,1,0,0,0,0,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School De Peppel,0209::SB4,6642 AB,1560,1533,0,1,0,0,3,1363,168,0,0,0,0,0,0,1534,441,63,176,147,159,261,24,129,0,23,55,3,10,0,2,28,0,0,0,7,1,1,0,2,1,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Alde Steeg,0209::SB5,6641 BS,1508,671,1,2,0,0,3,593,78,0,0,0,0,0,0,674,149,52,105,96,87,56,10,61,1,14,21,1,3,4,0,6,0,0,0,2,0,1,0,2,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School De Kameleon,0209::SB6,6641 LT,1767,1365,2,2,0,0,1,1253,115,0,0,0,0,0,0,1369,315,61,249,182,152,166,13,102,6,32,45,3,5,3,3,23,1,0,0,2,1,0,0,1,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verpleeghuis Waelwick,0209::SB7,6644 CP,1529,1224,1,2,0,0,7,1100,120,0,0,0,0,0,0,1227,281,50,202,178,180,142,6,75,0,25,46,4,5,3,2,22,0,1,0,1,0,0,0,0,1,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau MFA 't Hart,0209::SB8,6644EA,1432,1217,0,2,0,0,2,1120,97,0,0,0,0,0,0,1219,321,40,185,163,200,113,15,86,7,17,35,2,6,0,1,21,0,0,0,3,0,1,0,1,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Kloosterhof,0209::SB9,6551 EB,914,970,0,3,0,0,0,903,70,0,0,0,0,0,0,973,192,38,176,152,109,96,1,104,0,21,57,0,3,0,3,13,0,0,0,3,0,0,0,2,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Muziekcentrum Ulto,0209::SB10,6645 AD,726,539,1,1,0,0,1,503,37,0,0,0,0,0,0,541,166,24,63,61,90,55,1,30,4,9,26,0,1,0,0,5,0,0,0,2,0,1,0,1,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School de Hoeven,0209::SB11,6641 WR,1366,1050,2,0,0,0,0,977,75,0,0,0,0,0,0,1052,246,49,142,118,132,154,9,114,0,18,45,2,7,0,0,7,1,0,0,5,0,0,0,1,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Leghe Polder,0209::SB12,6641 DC,1201,1136,3,2,0,0,2,1033,106,0,0,0,0,0,0,1141,212,71,192,159,163,121,6,85,1,17,60,3,4,11,2,23,0,2,0,1,0,0,0,3,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Tinnegieter,0209::SB13,6641 DH,1478,1436,3,4,0,0,0,1322,121,0,0,0,0,0,0,1443,273,66,243,245,124,175,10,139,0,39,49,1,10,12,6,29,0,0,3,6,4,1,1,0,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zaal 't Centrum,0209::SB14,6551 ZN,1091,720,2,1,0,0,2,655,66,0,0,0,0,0,0,723,170,51,89,77,102,81,8,64,0,19,39,0,2,0,0,8,4,1,0,5,0,0,0,0,0,0
Nijmegen,Beuningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Paulus,0209::SB15,6645 BT,900,834,1,2,0,0,2,767,68,0,0,0,0,0,0,837,220,48,93,117,138,94,2,44,0,24,38,0,1,0,0,14,0,0,0,0,0,0,0,0,0,1
