contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Gemeentehuis, Binnenweg 26",0180::SB1,7951 DE,1395,904,0,1,0,0,3,792,110,0,0,0,0,0,0,905,115,38,43,70,31,24,110,5,450,2,12,4
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Dienstencentrum, Berkenlaan 1",0180::SB2,7951 CA,1500,913,4,2,0,0,0,821,98,0,0,0,0,0,0,919,171,52,60,94,32,24,122,4,315,17,16,6
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau NH Dienstgebouw, ORW 450",0180::SB3,7954 GD,1669,1258,0,2,0,0,0,1076,184,0,0,0,0,0,0,1260,256,11,70,49,16,6,599,3,233,6,5,4
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Café/rest. 't Centrum, ORW 141",0180::SB4,7951 EC,1552,996,0,1,0,1,0,824,174,0,0,0,1,0,0,998,75,6,45,45,4,2,166,3,643,0,1,6
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Café/rest. 't Vosje, Heerenweg 36",0180::SB5,7955 PE,1281,716,1,2,0,0,2,652,65,0,0,0,0,0,0,719,56,74,165,59,35,76,38,18,71,18,81,25
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Maarten Lutherschool, Mr. JB Kanlaan 36",0180::SB6,7715 PM,832,563,0,1,0,0,0,470,94,0,0,0,0,0,0,564,74,8,31,34,11,6,96,5,284,6,6,2
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Pr. Mauritsschool, GW 326",0180::SB7,7951 PE,1142,769,0,1,0,0,0,653,117,0,0,0,0,0,0,770,58,3,35,20,8,5,62,1,569,1,3,4
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Sporthal, Hoogeweg 21",0180::SB8,7951 DV,1375,854,3,0,0,0,0,765,92,0,0,0,0,0,0,857,166,23,81,90,12,25,157,8,259,20,9,4
,Staphorst,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau OBS De Berkenhorst, St. Kerkweg 40",0180::SB9,7951 JS,853,509,1,0,0,0,0,434,76,0,0,0,0,0,0,510,71,16,65,45,10,22,84,12,164,10,6,4
