contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij,JEZUS LEEFT
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gemeentehuis,0689::SB1,4223ZG,1396,847,1,3,0,0,0,742,109,0,0,0,0,0,0,851,207,65,77,231,57,36,19,72,54,9,16,2,0,2,0,0
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Ons Dorpshuis,0689::SB2,4209AP,974,570,1,0,0,0,0,508,63,0,0,0,0,0,0,571,149,51,65,65,41,51,15,60,37,12,9,2,3,2,1,7
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gemeenschapshuis De Til,0689::SB3,3381BS,1401,933,0,2,0,0,0,824,111,0,0,0,0,0,0,935,144,71,77,237,60,45,10,193,49,27,14,1,1,2,0,2
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Oude School,0689::SB4,3381KR,703,466,0,0,0,0,0,410,56,0,0,0,0,0,0,466,124,11,42,107,12,6,4,82,55,11,9,2,0,0,0,1
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zalencentrum De Stigt,0689::SB5,3381KT,1491,789,1,1,0,0,1,700,90,0,0,0,0,0,0,791,168,44,64,186,39,59,10,131,64,9,10,0,1,0,1,3
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dorpshuis Noordeloos,0689::SB6,4225RA,1279,851,1,0,0,0,1,747,104,0,0,0,0,0,0,852,141,37,48,218,31,29,15,133,179,7,11,0,1,1,0,0
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dorpshuis De Hoeksteen,0689::SB7,4221LJ,1219,704,0,0,0,0,0,621,83,0,0,0,0,0,0,704,170,47,80,128,49,41,7,97,56,11,14,0,2,2,0,0
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Lingehof,0689::SB8,4241CA,1252,606,0,2,0,0,0,561,47,0,0,0,0,0,0,608,121,95,92,69,94,45,7,25,3,26,16,1,3,3,0,6
Dordrecht,Giessenlanden,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Peperhof,0689::SB9,4221BW,1347,740,1,0,0,0,0,667,74,0,0,0,0,0,0,741,152,101,103,86,91,67,29,25,31,28,21,1,0,1,0,4
