contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentehuis,0762::SB1,,2041,789,1,0,224,46,191,56,68,7,58,2,0,0,15,4,1,114,2,0,1
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Verzorgingshuis De Nieuwenhof,0762::SB2,,1959,645,2,2,233,34,175,23,31,4,34,0,1,1,9,0,2,94,2,0,2
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkhuis D'n Houtenhoek,0762::SB3,,2140,619,1,0,162,46,139,29,56,4,30,0,1,0,16,3,1,126,2,2,2
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum De Heiakker,0762::SB4,,1679,425,1,1,58,41,105,45,58,2,39,0,1,0,7,2,0,66,1,0,0
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gerardushuis,0762::SB5,,1552,586,1,1,182,26,181,21,24,3,48,4,0,0,13,1,0,81,0,0,2
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Openbare basisschool De Bron,0762::SB6,,1531,440,2,0,88,55,97,40,59,2,39,4,0,0,16,2,0,37,0,0,1
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Hofke van Marijke,0762::SB7,,2411,605,3,2,177,49,162,25,25,4,34,3,0,0,5,2,5,113,1,0,0
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Jeugdaccommodatie Vlierden,0762::SB8,,1009,351,1,0,113,20,114,14,21,0,21,1,0,0,8,0,2,37,0,0,0
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Frans Hoebenshal,0762::SB9,,1504,414,5,1,66,41,85,24,65,1,41,0,3,0,11,1,1,74,0,0,1
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau S.C.C. Den Draai,0762::SB10,,2037,555,3,0,197,37,106,20,45,0,19,0,0,0,9,3,0,119,0,0,0
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeenschapshuis De Kastanje,0762::SB11,,2579,800,1,2,285,36,244,28,39,2,35,0,0,0,10,1,0,116,2,1,1
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeenschapshuis De Moost,0762::SB13,,1395,404,3,3,181,26,77,15,17,1,17,1,0,0,5,0,0,64,0,0,0
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeenschapshuis De Gouden Helm,0762::SB14,,681,207,0,2,89,7,49,4,1,2,11,1,0,0,5,1,1,31,1,0,4
,Deurne,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Basisschool D'n Heiakker,0762::SB15,,1744,372,0,2,42,43,72,37,55,3,31,2,1,0,9,3,1,72,1,0,0
