contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Lichtboei,0072::SB1,,1292,536,0,0,79,81,70,52,43,18,69,1,0,1,23,5,3,88,1,0,2
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wooncentrum St Hubertus,0072::SB2,,1331,512,0,1,78,89,52,63,57,14,39,2,0,1,26,7,0,82,2,0,0
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau dependance Simon Vestdijk,0072::SB3,,1274,365,0,1,43,70,31,35,51,22,27,2,0,1,17,6,1,59,0,0,0
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Het Vierkant,0072::SB4,,1749,504,2,0,105,89,38,35,59,33,13,3,0,0,12,5,0,110,0,0,2
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gymnastieklokaal Klipperstraat,0072::SB5,,1736,438,2,6,69,75,25,36,74,38,22,0,1,0,18,2,1,76,1,0,0
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau dorpshuis De Spil,0072::SB6,,522,194,1,1,35,34,15,10,14,14,16,1,0,0,13,3,0,39,0,0,0
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorgcentrum De Spiker,0072::SB7,,1720,640,1,1,178,120,58,36,55,39,32,1,0,0,18,6,3,92,0,1,1
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau MCL-Harlingen & De Batting,0072::SB8,,2059,656,0,1,125,111,85,29,74,46,58,3,0,3,26,5,1,90,0,0,0
,Harlingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau dorpshuis De Bijekoer,0072::SB9,,396,167,0,0,22,28,24,9,28,3,13,3,0,0,8,2,1,22,1,0,3
