contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Anna Paulowna,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkgebouw Kleine Sluis,0366::SB1,,1514,472,1,0,106,62,81,20,45,10,33,0,0,1,24,7,0,83,0,0,0
,Anna Paulowna,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Carrousel,0366::SB2,,1102,361,0,0,104,22,78,22,16,10,27,3,0,0,9,1,2,64,0,0,3
,Anna Paulowna,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Brug,0366::SB3,,757,311,0,0,63,15,69,27,21,8,23,1,0,0,11,2,0,64,1,2,4
,Anna Paulowna,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wapen van Holland,0366::SB4,,1546,620,1,0,149,46,140,43,29,6,60,1,1,0,7,5,0,132,1,0,0
,Anna Paulowna,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zwembad Den Krieck,0366::SB5,,1214,357,1,0,117,27,78,10,12,13,13,2,2,0,9,2,0,70,1,0,1
,Anna Paulowna,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Keijzershoff,0366::SB6,,1220,333,1,0,55,52,45,25,29,23,25,3,0,1,6,3,1,65,0,0,0
,Anna Paulowna,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Veerburg,0366::SB7,,1637,557,2,0,93,74,97,27,39,12,50,4,0,1,17,1,3,133,1,0,5
,Anna Paulowna,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Molenweid,0366::SB8,,1702,552,2,1,91,76,100,44,21,15,33,2,3,0,25,2,2,132,3,1,2
