contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis,0010::SB1,9934 EA,1513,655,5,0,0,0,5,591,64,0,0,0,0,0,0,660,99,101,80,92,63,16,65,41,6,1,2,42,2,5,0,3,0,36,1
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Burg. van Julsinghatehuis,0010::SB2,9934 EH,1557,492,2,1,0,0,0,469,26,0,0,0,0,0,0,495,83,75,83,31,33,10,69,41,4,0,4,44,1,2,0,1,0,11,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gebouw Werkorganisatie DEAL,0010::SB3,9934 LN,1176,383,1,1,0,0,0,349,36,0,0,0,0,0,0,385,33,48,40,51,57,15,53,44,3,0,1,19,0,2,1,0,0,16,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis Aeolus,0010::SB5,9936 CS,1381,345,1,2,1,0,0,315,33,0,0,0,0,0,0,348,30,74,36,36,27,5,68,31,1,0,1,19,0,4,1,0,0,12,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kerk Meedhuizen,0010::SB6,9937 PD,476,163,2,0,0,0,0,153,12,0,0,0,0,0,0,165,20,20,18,15,13,10,24,6,3,0,2,13,0,1,0,1,0,17,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brede School Noord,0010::SB7,9933 KH,1536,292,1,0,0,0,1,259,33,0,0,0,0,0,0,293,28,65,38,20,24,6,49,25,0,0,2,20,2,2,0,1,0,10,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gebouw Chr Geref Kerk,0010::SB8,9931 CB,1577,387,7,2,0,0,1,349,46,0,0,0,0,0,0,396,53,72,61,35,27,6,39,53,0,0,2,17,2,1,0,1,1,16,1
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brede School Noord,0010::SB9,9933 KH,1755,557,6,2,0,0,1,503,61,0,0,0,0,0,0,565,69,109,59,31,43,11,115,48,0,0,3,39,0,3,0,3,0,23,1
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brede School Tuikwerd,0010::SB10,9932 BR,2106,508,4,1,1,0,0,456,56,0,0,1,0,0,0,512,45,80,82,33,54,19,91,45,7,0,6,11,0,6,0,1,2,26,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Eemsdeltacollege,0010::SB11,9932 BD,1250,354,7,0,0,0,0,322,39,0,0,0,0,0,0,361,42,30,60,34,56,19,45,49,0,0,1,7,0,0,0,1,0,10,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS Woldrakkers,0010::SB12,9946 PM,800,265,0,2,0,1,2,230,34,0,0,1,0,0,0,266,16,52,46,18,19,6,59,8,1,0,7,8,0,6,0,0,0,19,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau o.b.s. De Munte,0010::SB13,9948 PA,719,217,0,0,0,0,0,194,23,0,0,0,0,0,0,217,12,49,31,15,16,4,49,11,3,0,1,8,0,0,0,0,1,15,2
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ons Centrum,0010::SB14,9945 SG,1467,444,1,1,2,0,3,383,60,0,0,0,0,0,0,446,77,60,65,32,30,16,65,58,1,0,0,20,0,3,0,2,1,13,1
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau CBS Bierum,0010::SB15,9906 PE,561,194,1,0,0,0,0,174,21,0,0,0,0,0,0,195,50,27,12,14,8,8,36,14,1,0,2,6,2,1,0,0,0,13,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verenigingsgebouw Elim,0010::SB16,9909 AH,1086,388,2,0,0,0,1,347,42,0,0,0,0,0,0,390,80,54,30,17,24,14,60,66,0,0,1,23,1,2,0,6,1,9,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis De Heekt,0010::SB17,9905 PD,969,337,5,3,0,0,0,316,29,0,0,0,0,0,0,345,77,25,36,29,28,18,40,26,2,0,1,23,0,1,0,1,0,30,0
,Delfzijl,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis Vinkenhorst,0010::SB18,9908 PD,405,163,0,1,1,0,0,149,15,0,0,0,0,0,0,164,36,30,12,12,9,12,16,12,0,0,3,7,1,0,1,0,0,12,0
