contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Leeuwarden,Ferwerderadiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonzorg Centrum Foswert,1722::SB1,,1480,1139,1,4,363,209,116,154,103,46,93,33,10,6,1,1,4,0,0,0,0
Leeuwarden,Ferwerderadiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Doarpshûs Marrum,1722::SB2,,1100,751,0,3,227,145,82,89,107,30,38,18,9,3,1,0,1,0,0,1,0
Leeuwarden,Ferwerderadiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau MFC ""It Trefpunt""",1722::SB3,,1053,1018,0,0,250,223,135,144,104,46,47,44,18,3,0,2,0,0,0,2,0
Leeuwarden,Ferwerderadiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Offingaburg,1722::SB4,,1067,566,1,2,136,113,96,72,65,24,29,23,6,1,0,0,0,0,0,1,0
Leeuwarden,Ferwerderadiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau MFC ""Pro Rege""",1722::SB5,,1066,809,2,3,209,136,90,121,95,49,39,41,15,3,0,4,7,0,0,0,0
Leeuwarden,Ferwerderadiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Doarpshûs ""De Fjouwer""",1722::SB6,,300,254,0,0,108,33,24,31,9,16,19,4,5,1,0,4,0,0,0,0,0
Leeuwarden,Ferwerderadiel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Doarpshûs ""De Soos""",1722::SB7,,673,485,1,0,129,91,43,48,47,15,79,15,7,8,0,0,3,0,0,0,0
