"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Pekela"
"Nummer";"";"0765"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"OBS Feiko Clock";"Gemeentehuis";"Brede school De Groenling";"Dollard College (Pekela)";"Dorpshuis De Kiepe";"Zorgcentrum Clockstede";"Dorpshuis de Riggel"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7"
"Postcode";"";"";"";"";"9665 HT";"9665 JD";"9665 HS";"9665 RA";"9663 EG";"9663 CW";"9663 TT"
"";"";"47";"Regterschot, K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Smals, B.M.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Pauwels-Paauw, M.S.";"2";"0";"0";"0";"0";"1";"1";"0"
"";"";"50";"Bolkestein, M.N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"51";"Snoeren, M.A.J.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"52";"Heemskerk, J.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"53";"Tönjann-Levert, W.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"54";"van Rijn, R.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"55";"de Reus, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"56";"Dral, R.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"57";"Korting, I.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"58";"Arends-Drijver, K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"59";"Lock, K.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"60";"Hoekstra, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"61";"van Schie, A.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"62";"Struijlaart, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"63";"Haseloop-Amsing, T.H.";"4";"0";"2";"0";"0";"2";"0";"0"
"";"";"64";"Jacobs, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"65";"Elbertsen, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"66";"van Dijk, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"67";"Mos, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"68";"Böcker, B.M.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"69";"de Rijk, R.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"70";"Welter, Y.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"71";"Derks, N.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"72";"Joziasse, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"73";"Bevers, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"74";"Prins, A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"75";"Huisman-Peelen, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"76";"Bonnevits-de Jong, L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"77";"Lochtenberg, D.S.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"78";"Larson, C.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"79";"Zevenbergen, E.F.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"80";"van der Weijden, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"2";"Partij van de Arbeid (P.v.d.A.)";"";"";"614";"109";"153";"126";"44";"83";"71";"28"
"";"";"1";"Asscher, L.F.";"390";"72";"97";"90";"23";"50";"42";"16"
"";"";"2";"Arib, K.";"12";"3";"6";"2";"0";"0";"0";"1"
"";"";"3";"Dijsselbloem, J.R.V.A.";"19";"3";"2";"0";"3";"8";"2";"1"
"";"";"4";"Dijksma, S.A.M.";"15";"0";"5";"3";"3";"1";"2";"1"
"";"";"5";"van Dijk, G.J.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"6";"Kuiken, A.H.";"4";"0";"0";"1";"1";"0";"1";"1"
"";"";"7";"Nijboer, H.";"72";"11";"21";"10";"8";"10";"9";"3"
"";"";"8";"van den Hul, K.A.E.";"2";"1";"0";"0";"1";"0";"0";"0"
"";"";"9";"Moorlag, W.J.";"34";"8";"6";"6";"2";"7";"5";"0"
"";"";"10";"Ploumen, E.M.J.";"3";"1";"1";"0";"1";"0";"0";"0"
"";"";"11";"Kerstens, J.W.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"de Kock, J.C.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Marcouch, A.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"14";"Volp, M.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Moti, R.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"16";"Yücel, K.";"4";"0";"0";"4";"0";"0";"0";"0"
"";"";"17";"Servaes, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Bozkurt, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"van der Linde, I.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Oosterbaan, C.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"21";"Mohandis, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Ypma, L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Recourt, J.";"0";"0";"0";"0";"0";"0";"0";"0"
