"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Pekela"
"Nummer";"";"0765"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"OBS Feiko Clock";"Gemeentehuis";"Brede school De Groenling";"Dollard College (Pekela)";"Dorpshuis De Kiepe";"Zorgcentrum Clockstede";"Dorpshuis de Riggel"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7"
"Postcode";"";"";"";"";"9665 HT";"9665 JD";"9665 HS";"9665 RA";"9663 EG";"9663 CW";"9663 TT"
"5";"CDA";"";"";"744";"75";"113";"113";"54";"201";"148";"40"
"";"";"1";"van Haersma Buma, S.";"493";"60";"73";"72";"32";"131";"99";"26"
"";"";"2";"Keijzer, M.C.G.";"54";"4";"9";"5";"0";"16";"17";"3"
"";"";"3";"Peters, W.P.H.J.";"2";"0";"0";"0";"0";"0";"2";"0"
"";"";"4";"Omtzigt, P.H.";"20";"0";"1";"5";"1";"8";"2";"3"
"";"";"5";"van Toorenburg, M.M.";"6";"0";"0";"1";"5";"0";"0";"0"
"";"";"6";"Knops, R.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Heerma, P.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van der Molen, H.";"2";"0";"0";"0";"0";"0";"2";"0"
"";"";"9";"Bruins Slot, H.G.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Geurts, J.L.";"8";"0";"0";"0";"2";"3";"0";"3"
"";"";"11";"Kuik, A.";"138";"9";"25";"28";"14";"37";"21";"4"
"";"";"12";"van Dam, C.J.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Mulder, A.H.";"10";"1";"2";"0";"0";"4";"3";"0"
"";"";"14";"Rog, M.R.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Amhaouch, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Helvert, M.J.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Ronnes, H.A.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van den Berg-Jansen, J.A.M.J.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"19";"Slootweg, E.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Geluk-Poortvliet, L.W.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Palland, H.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"de Pater-Postma, W.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Terpstra, J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Steenbakkers, S.P.M.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"van den Anker, G.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Heijnen, V.L.W.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"den Bak, S.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Schotman, C.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Erkel, P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Zwinkels, C.C.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Hanemaaijer, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Hutten, G.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Kip, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Mierlo, E.J.F.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"de Korte-Verhoef, M.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Bergkamp, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"de Haan, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"van Opstal, J.M.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Gardeniers, B.H.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Bal, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Vrugt, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Dekken, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Vloet, W.J.M.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"von Martels, M.R.H.M.";"7";"0";"2";"2";"0";"1";"1";"1"
"";"";"45";"van der Broek, J.M.A.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Bakker, G.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"Havelaar, R.B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Jager, M.J.";"2";"1";"1";"0";"0";"0";"0";"0"
"";"";"49";"Helmantel, H.F.N.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"50";"van Leeuwen, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"6";"Democraten 66 (D66)";"";"";"372";"65";"54";"59";"37";"77";"52";"28"
"";"";"1";"Pechtold, A.";"275";"47";"37";"42";"28";"61";"37";"23"
"";"";"2";"van Veldhoven, S.";"8";"4";"1";"2";"0";"0";"0";"1"
"";"";"3";"Koolmees, W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Dijkstra, P.A.";"16";"2";"3";"1";"0";"3";"4";"3"
"";"";"5";"van Engelshoven, I.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Bergkamp, V.A.";"4";"1";"0";"0";"1";"1";"1";"0"
"";"";"7";"Verhoeven, K.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Meenen, P.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Paternotte, J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Van Weyenberg, S.P.R.A.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"11";"Sjoerdsma, S.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Jetten, R.A.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Van Eijs, J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Belhaj, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Groothuizen, M.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"16";"Bouali, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Raemakers, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Diertens, A.E.";"60";"10";"11";"11";"7";"11";"9";"1"
"";"";"19";"de Groot, T.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"den Boer, M.G.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Sienot, M.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Sneller, J.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Schonis, R.A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"van Beukering-Huijbregts, M.J.T.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Meijer, A.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Eurlings-Tonnaer, F.M.C.L.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"27";"Ramlal, M.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"van Bemmel, M.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Lamers, C.B.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"van Essen, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Verbrugge-Wormgoor, D.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van der Laan, J.M.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Zarroy, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Winkel, B.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Bamenga, P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Sanders, N.P.C.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"37";"Guernaoui, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Kat, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Keij, E.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Bosman, A.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Schukking, S.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Schepel, W.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Glastra van Loon, J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"van Vugt, T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Dun, C.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Wirken, S.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"de Smoker-van Andel, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Hoogeveen, T.C.";"4";"0";"0";"2";"1";"0";"1";"0"
"";"";"49";"Terlouw, G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"Ross, H.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"7";"ChristenUnie";"";"";"206";"12";"20";"13";"18";"77";"54";"12"
"";"";"1";"Segers, G.M.";"155";"11";"8";"9";"14";"59";"46";"8"
"";"";"2";"Schouten, C.J.";"6";"0";"0";"0";"1";"2";"2";"1"
"";"";"3";"Voordewind, J.S.";"4";"0";"2";"0";"0";"2";"0";"0"
"";"";"4";"Dik-Faber, R.K.";"11";"0";"0";"0";"2";"9";"0";"0"
"";"";"5";"Bruins, E.E.W.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"6";"van der Graaf, S.J.F.";"21";"1";"7";"4";"0";"1";"5";"3"
"";"";"7";"Ceder, D.G.M.";"2";"0";"2";"0";"0";"0";"0";"0"
"";"";"8";"Vreugdenhil, H.J.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"9";"Drost, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Gooijer-Medema, J.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Huisman, G.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Rots, D.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Tijhof, B.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Grinwis, P.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Vlieg-Kempe, H.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Meijer, L.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Janssen, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Heuvelink, M.E.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"van 't Foort, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Treurniet-Klapwijk, W.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Mostert, I.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Kennedy-Doornbos, S.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Ebid, E.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Hofstra, H.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Kumar, A.D.J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Weigand-Timmer, H.A.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Visser, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Kaper-Hartenberg, E.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Krins, J.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Schuring, H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"van Tatenhove-Meesen, J.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Joosten-Leijendekker, J.M.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Zuidervaart, L.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Jaspers Faijer, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Jongman-Mollema, I.M.";"1";"0";"0";"0";"1";"0";"0";"0"
"";"";"36";"de Haan, J.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Baars, H.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Visser, F.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Klein, A.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Seyed Mehdi, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Kooij-Bas, A.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Kranenburg, C.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"van den Berg, G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Balootje, I.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Zaalen, F.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Haga, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Spoel, P.L.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Stoorvogel, H.";"2";"0";"0";"0";"0";"1";"1";"0"
"";"";"49";"van der Veer, A.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"50";"Bottenbley, O.E.";"1";"0";"0";"0";"0";"1";"0";"0"
"8";"GROENLINKS";"";"";"417";"78";"83";"74";"34";"61";"51";"36"
"";"";"1";"Klaver, J.F.";"332";"63";"60";"63";"28";"51";"40";"27"
"";"";"2";"Buitenweg, K.M.";"18";"4";"4";"2";"0";"3";"4";"1"
"";"";"3";"van der Lee, T.M.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Voortman, L.G.J.";"4";"1";"0";"2";"0";"0";"0";"1"
"";"";"5";"Grashoff, H.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"van Tongeren, L.";"21";"4";"8";"1";"1";"0";"4";"3"
"";"";"7";"de Jonge van Ellemeet, C.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Özdil, Z.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Snels, B.A.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"van Ojik, A.";"1";"0";"0";"0";"0";"0";"0";"1"
"";"";"11";"Kröger, S.C.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"12";"Özütok, N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Smeulders, P.H.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Westerveld, E.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Bromet, L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Renkema, W.J.T.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Essen, H.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van den Berge, C.N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Diks, L.I.";"6";"1";"1";"0";"0";"2";"2";"0"
"";"";"20";"van den Nieuwenhuijzen-Wittens, T.J.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Mahtab, I.A.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Bouwkamp, C.C.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"23";"van den Bosch, D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"van der Steenhoven, M.V.";"1";"0";"0";"0";"0";"0";"0";"1"
"";"";"25";"Bonte, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"van der Kleij, A.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Kuipers, J.N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Arnoldussen, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Duursma, J.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"30";"Önder, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Vintges, V.A.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Bashara, S.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Bellemakers, H.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Smelik, C.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Schers, S.R.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Klijmij-van der Laan, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Piers, R.P.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Vermast, P.L.A.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"39";"Snaas, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"van Oort, K.J.H.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Hirsch, D.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Grootheest, G.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"van Hooijdonk, L.H.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Kapteijns, F.H.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"Scholten, H.T.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Muambi, A.O.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"Homan-Brinkman, N.";"16";"2";"3";"5";"2";"3";"0";"1"
"";"";"48";"El Fassed, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Rüter, J.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"van Gent, W.";"13";"2";"4";"1";"3";"1";"1";"1"
"9";"Staatkundig Gereformeerde Partij (SGP)";"";"";"50";"1";"4";"1";"15";"11";"16";"2"
"";"";"1";"van der Staaij, C.G.";"46";"1";"4";"0";"15";"11";"14";"1"
"";"";"2";"Dijkgraaf, E.";"3";"0";"0";"0";"0";"0";"2";"1"
"";"";"3";"Bisschop, R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Ruissen, H.J.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Stoffer, C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Schipaanboord, G.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Kloosterman, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Tanis, J.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Veldman, J.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Nieuwenhuis, E.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Weggeman, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Hoek, P.W.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"de Knegt, L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Flach, A.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"van Wikselaar, W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Leeuwen, G.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Bosma, E.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Kok, W.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Bakker, T.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"20";"Boonzaaijer, G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Simonse, J.N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"van Duijn, W.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"van Westreenen, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"van 't Land, J.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Noordergraaf, P.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Benschop, J.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Dorst, A.I.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"van den Berg, W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"de Vries, W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Brouwer, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"10";"Partij voor de Dieren";"";"";"163";"39";"24";"27";"12";"28";"27";"6"
"";"";"1";"Thieme, M.L.";"132";"35";"19";"22";"8";"23";"22";"3"
"";"";"2";"Ouwehand, E.";"5";"0";"2";"1";"1";"0";"1";"0"
"";"";"3";"van Raan, L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Wassenberg, F.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Arissen, F.M.";"2";"0";"1";"0";"0";"0";"0";"1"
"";"";"6";"van Esch, E.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Teunissen, C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Leeuwen, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Koffeman, N.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Engelen, E.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"van Lammeren, J.F.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Akerboom, E.S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"van Liere, A.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Voorthuizen, G.S.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"van der Wel, M.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"van der Veer, L.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Viegen, A.H.K.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Keller, H.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"van Doorn, M.E.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Plusquin, P.S.M.L.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"21";"van der Velden, R.T.J.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"22";"Smit, I.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Vestering, L.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"24";"Travaille, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"de Wrede, K.";"6";"2";"0";"0";"2";"1";"0";"1"
"";"";"26";"van der Zanden, C.J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Janssens, T.A.O.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Kosti?, I.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Hazekamp, A.A.H.";"10";"1";"1";"3";"1";"2";"2";"0"
"";"";"30";"Berendse, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Biesheuvel, J.M.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Cruiming, J.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Dumon Tak, M.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Engelsman, V.L.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"de Haas, J.L.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"36";"van der Heijden, A.F.T.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Herstel, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"van der Steen, M.F.";"2";"1";"0";"0";"0";"1";"0";"0"
"";"";"39";"Meijer, E.R.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Mutsaers, C.J.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Nicolaï, P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Postma, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Rot, J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Rotenstreich, M.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"de Schepper, T.";"1";"0";"0";"0";"0";"0";"0";"1"
"";"";"46";"Schrijver, J.W.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"Siebelink, J.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"van Veen, B.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"49";"Verbaan, G.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"Woesthoff, M.F.F.";"0";"0";"0";"0";"0";"0";"0";"0"
"11";"50PLUS";"";"";"269";"59";"41";"56";"25";"30";"45";"13"
"";"";"1";"Krol, H.C.M.";"189";"45";"30";"39";"13";"17";"35";"10"
"";"";"2";"Sazias, L.";"31";"10";"4";"4";"1";"9";"3";"0"
"";"";"3";"van Rooijen, M.J.";"2";"0";"0";"1";"0";"1";"0";"0"
"";"";"4";"van Brenk, C.M.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"5";"van Otterloo, G.J.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"Geleijnse, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Bode, E.M.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"8";"Schrover, W.A.A.";"2";"0";"0";"0";"2";"0";"0";"0"
"";"";"9";"Koopman, M.";"2";"0";"1";"0";"0";"0";"1";"0"
"";"";"10";"de Brouwer, R.B.P.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Wiersma, T.";"4";"0";"0";"1";"3";"0";"0";"0"
"";"";"12";"Bergen, P.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"van Veeren, P.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"14";"Willemse, W.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"15";"Fonhof, G.J.";"8";"0";"3";"0";"2";"1";"1";"1"
"";"";"16";"Kroonstuiver, N.L.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Verboom, H.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van de Griendt, M.W.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"van Overveld, W.A.A.M.";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"20";"Hamersma, K.";"22";"3";"2";"7";"2";"2";"4";"2"
"";"";"21";"Siepel, H.";"1";"0";"0";"1";"0";"0";"0";"0"
