;Tweede Kamer Verkiezing - 15 maart 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D e f i n i t i e v e  u i t s l a g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;20,45%;6,43%;15,39%;6,01%;6,22%;14,27%;1,85%;11,06%;0,49%;4,47%;2,58%;0,09%;0,29%;7,29%;0,11%;1,83%;0,04%;0,03%;0,06%;0,43%;0,41%;0,08%;0,02%;0,06%;0,02%;
;Gemeente Den Haag;;;349.164;262.776;53.733;16.900;40.436;15.801;16.346;37.511;4.858;29.064;1.291;11.733;6.788;236;754;19.154;298;4.815;114;86;158;1.139;1.090;209;55;159;48;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Stembureau;Stadsdeel;Wijk;Kiesger;Stemmen;VVD;P.v.d.A.;PVV;SP;CDA;D66;Christen Unie;GROENLINKS;SGP;Partij voor de Dieren;50PLUS;OndernemersPartij;VNL;DENK;NIEUWE WEGEN;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Artikel 1;Niet Stemmers;Libertarische Partij;Lokaal in de Kamer;Vrije Democratische Partij;
136;Wijkcentrum Het Eiland;Loosduinen;Loosduinen;1.786;948;154;53;295;98;87;71;15;47;1;39;57;3;2;6;0;10;1;1;0;5;2;1;0;0;0;
137;Florence Dekkersduin;Loosduinen;Bohemen, Meer en Bos;501;293;92;27;23;8;22;46;1;33;0;22;5;0;1;0;3;7;0;0;1;2;0;0;0;0;0;
138;HV & CV Quick;Loosduinen;Bohemen, Meer en Bos;688;521;214;30;35;20;41;84;9;40;0;28;8;1;1;0;1;7;0;0;0;2;0;0;0;0;0;
139;Scoutinggroep Ferguson;Loosduinen;Bohemen, Meer en Bos;705;459;140;25;44;12;39;87;12;44;1;30;8;0;5;0;0;7;0;0;0;5;0;0;0;0;0;
140;Hofstad Lyceum;Loosduinen;Waldeck;2.083;1.422;380;85;131;61;142;239;24;195;7;79;32;1;2;8;1;26;0;0;0;7;2;0;0;0;0;
146;Haag Atletiek;Segbroek;Vogelwijk;1.640;1.266;586;68;67;18;98;232;20;94;10;29;8;2;3;2;0;23;0;0;0;6;0;0;0;0;0;
202;OBS De La Reyschool;Centrum;Transvaalkwartier;1.587;1.225;92;97;177;86;37;116;17;131;10;29;39;1;0;358;4;7;0;0;1;7;16;0;0;0;0;
204;OBS De Gelderlandschool;Escamp;Rustenburg en Oostbroek;1.671;1.084;113;73;288;88;44;116;31;115;3;36;25;0;3;112;0;14;0;1;5;10;3;2;0;1;1;
205;RK Rosa Basisschool;Escamp;Rustenburg en Oostbroek;2.098;1.075;146;66;216;82;71;109;14;117;22;47;22;0;5;126;4;9;1;0;0;6;6;2;2;2;0;
206;Middin Steinmetz de Compaan;Escamp;Rustenburg en Oostbroek;1.968;1.394;138;88;409;118;58;141;29;145;15;68;62;0;5;67;2;26;1;0;4;11;5;0;1;1;0;
209;OBS Het Galjoen;Centrum;Groente- en Fruitmarkt;2.133;1.361;101;93;149;136;31;106;12;100;3;22;21;1;1;558;1;6;1;1;0;2;10;2;0;3;1;
211;Musicon;Escamp;Leyenburg;2.315;1.537;240;62;385;123;106;188;53;163;4;67;54;1;6;32;3;28;2;3;0;8;8;1;0;0;0;
212;OBS De La Reyschool Voorthuizenstraat;Escamp;Rustenburg en Oostbroek;1.836;767;85;41;205;66;51;71;14;83;4;44;22;0;4;51;2;11;1;1;0;5;5;0;0;1;0;
213;Sportzaal Andre Castens;Escamp;Leyenburg;2.009;1.350;232;59;401;80;94;126;20;122;7;58;47;4;9;30;3;41;0;0;0;11;0;3;0;2;1;
215;CBS De Ark;Escamp;Leyenburg;1.785;1.194;211;22;405;106;103;67;31;105;8;0;43;0;12;31;2;32;0;0;2;2;7;4;0;1;0;
216;Daltonbasisschool Helen Parkhurst;Escamp;Leyenburg;1.237;839;159;41;189;63;46;95;14;75;6;37;34;0;6;34;0;30;0;0;0;4;5;1;0;0;0;
217;Tamarschool;Escamp;Morgenstond;1.819;852;82;67;224;89;52;55;27;79;8;31;30;0;2;79;0;8;1;3;0;8;3;4;0;0;0;
218;CBS Leyenburg;Escamp;Leyenburg;33;904;175;49;207;69;94;86;25;63;4;32;37;2;4;15;5;26;2;0;0;3;5;0;0;1;0;
