LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11
",,61,""van Schie, A.G. (André) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,62,""Struijlaart, E. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,63,""Haseloop - Amsing, T.H. (Tanja) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,64,""Jacobs, B. (Barry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,65,""Elbertsen, J. (Jenny) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,66,""van Dijk, S. (Saskia) (v)"",2,0,1,0,0,0,1,0,0,0,0,0"
",,67,""Mos, J. (Jasper) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,68,""Böcker, B.M. (Linda) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,69,""de Rijk, R.H. (Roeland) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,70,""Welter, Y. (Yvonne) (v)"",2,0,0,0,0,1,1,0,0,0,0,0"
",,71,""Derks, N.G. (Nick) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,72,""Joziasse, M. (Miranda) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,73,""Bevers, H. (Harry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,74,""Prins, A.J. (Anja) (v)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,75,""Huisman - Peelen, H. (Hennie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,76,""Bonnevits - de Jong, L. (Laurine) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,77,""Lochtenberg, D.S.K. (Dylan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,78,""Larson, C.R. (Crys) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,79,""Zevenbergen, E.F.A. (Frederik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,80,""van der Weijden, M. (Maarten) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"2,Partij van de Arbeid (P.v.d.A.),1,""Asscher, L.F. (Lodewijk) (m)"",103,11,6,8,10,15,19,5,3,13,3,10"
",,2,""Arib, K. (Khadija) (v)"",14,2,0,0,3,5,1,0,1,1,0,1"
",,3,""Dijsselbloem, J.R.V.A. (Jeroen) (m)"",21,2,2,1,3,3,3,2,0,1,1,3"
",,4,""Dijksma, S.A.M. (Sharon) (v)"",7,0,1,0,0,4,0,0,0,0,1,1"
",,5,""van Dijk, G.J. (Gijs) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Kuiken, A.H. (Attje) (v)"",2,0,0,0,0,0,0,1,0,0,1,0"
",,7,""Nijboer, H. (Henk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""van den Hul, K.A.E. (Kirsten) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Moorlag, W.J. (William) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Ploumen, E.M.J. (Lilianne) (v)"",5,0,2,0,2,0,0,0,0,1,0,0"
",,11,""Kerstens, J.W.M. (John) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""de Kock, J.C.M. (Joke) (v)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,13,""Marcouch, A. (Ahmed) (m)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,14,""Volp, M.J. (Marith) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Moti, R. (Richard) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Yücel, K. (Keklik) (v)"",3,0,0,0,2,0,0,0,1,0,0,0"
",,17,""Servaes, M. (Michiel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Bozkurt, E. (Emine) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""van der Linde, I.M. (Ilco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Oosterbaan, C. (Christa) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""Mohandis, M. (Mohammed) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Ypma, L. (Loes) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Recourt, J. (Jeroen) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Maij, M.E. (Marit) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""de Kort, M.V. (Martijn) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,26,""Roopram, R.D. (Reshma) (v)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,27,""Hoogland, D. (Duco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Schellekens, G.M.M. (Giselle) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""de Vries, A.A. (Albert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Biemans, M.S. (Mirthe) (v)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,31,""Brouwer, H. (Harm) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""Vos, M.L. (Mei Li) (v)"",2,0,0,1,0,1,0,0,0,0,0,0"
",,33,""Reinaerts, J.L.H. (Joost) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""Dibi, B. (Bouchra) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""van Drooge, S.W. (Bas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""Asante, A.A. (Amma) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Ünver, E. (Emre) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""Vermue, J.G.P. (Joyce) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,39,""van Dekken, T.R. (Tjeerd) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""Hedin - Penninx, A. (Anna-Lena) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,41,""Deen, B. (Bob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""Vorselman - Derksen, C.H.W.J. (Cindy) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""Pentenga, F. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,44,""van den Boogaard, A. (Anna) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""van Laar, R.P. (Roelof) (m)"",2,0,0,1,1,0,0,0,0,0,0,0"
",,46,""Schrofer, T.T. (Tamar) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,47,""van Houwelingen, H.E.F. (Heino) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,48,""Mulder, M.A. (Marinka) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Bolhuis, W.D. (Wimar) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,50,""Günal - Gezer, S. (Sultan) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,51,""Staal, J.J. (Jelmer) (m)"",2,0,0,0,0,0,0,0,0,1,0,1"
",,52,""Boot, E. (Els) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,53,""Chahim, M. (Mohammed) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,54,""Koenders, P.T.C. (Petra) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,55,""Breederveld, R. (Roy) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,56,""Menenti, L.M.E. (Laura) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,57,""van de Burgt, R.H.M. (Richard) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,58,""Repetur, M.E. (Lou) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,59,""Akrouh, S. (Saami) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,60,""Engbers, A.H.M.G. (Anita) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,61,""Ronnes, T.L. (Thomas) (m)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,62,""Wijntuin, P.M. (Peggy) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,63,""Brouwers, L.W.L. (Luc) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,64,""van Zantvoort, A.H.G. (Anja) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,65,""Cohen, F. (Fred) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,66,""Dankert, A.T. (Anne) (v)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,67,""Bouteibi, H. (Hafid) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,68,""Voigt, I. (Ivonne) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,69,""Schuurman Hess, J.N. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,70,""Klomp, B.C.D. (Denise) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,71,""Keizer, H.M. (Marco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,72,""Houben, T.A.H. (Tirza) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,73,""van 't Zelfde, E.R.M. (Eric) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
