LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11
",,8,""van der Molen, H. (Harry) (m)"",1,0,0,0,0,0,0,0,0,1,0,0"
",,9,""Bruins Slot, H.G.J. (Hanke) (v)"",27,2,2,2,5,2,2,3,4,1,1,3"
",,10,""Geurts, J.L. (Jaco) (m)"",65,17,2,1,7,2,4,0,1,7,19,5"
",,11,""Kuik, A. (Anne) (v)"",8,1,0,2,0,0,1,0,0,1,1,2"
",,12,""van Dam, C.J.L. (Chris) (m)"",2,1,0,0,0,1,0,0,0,0,0,0"
",,13,""Mulder, A.H. (Agnes) (v)"",6,1,1,0,1,0,0,1,1,0,0,1"
",,14,""Rog, M.R.J. (Michel) (m)"",1,0,0,0,0,0,0,0,0,0,0,1"
",,15,""Amhaouch, M. (Mustafa) (m)"",2,1,0,0,1,0,0,0,0,0,0,0"
",,16,""van Helvert, M.J.F. (Martijn) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,17,""Ronnes, H.A.G. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""van den Berg - Jansen, J.A.M.J. (Joba) (v)"",1,0,0,0,0,0,0,0,0,0,0,1"
",,19,""Slootweg, E.J. (Evert Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Geluk - Poortvliet, L.W.D. (Lenny) (v)"",9,3,3,0,2,0,1,0,0,0,0,0"
",,21,""Palland, H.M. (Hilde) (v)"",1,0,0,0,0,0,0,0,0,0,1,0"
",,22,""de Pater - Postma, W.L. (Wytske) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Terpstra, J.H. (Julius) (m)"",3,0,0,1,0,0,1,0,0,1,0,0"
",,24,""Steenbakkers, S.P.M.F. (Stijn) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""van den Anker, G.P. (Gerard) (m)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,26,""Heijnen, V.L.W.A. (Vivianne) (v)"",1,0,0,0,0,0,0,0,0,0,0,1"
",,27,""den Bak, S.W. (Sebastiaan) (m)"",10,1,0,0,3,1,0,0,0,0,3,2"
",,28,""Schotman, C.J. (Chris) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Erkel, P. (Arjan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Zwinkels, C.C.M. (Karin) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""Hanemaaijer, E. (Esther) (v)"",2,1,0,0,0,0,0,1,0,0,0,0"
",,32,""Hutten, G.J. (Jan) (m)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,33,""Kip, M. (Marischa) (v)"",2,0,0,0,1,0,1,0,0,0,0,0"
",,34,""van Mierlo, E.J.F.M. (Eugène) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""de Korte - Verhoef, M.C. (Ria) (v)"",3,1,0,0,1,0,0,0,0,1,0,0"
",,36,""Bergkamp, B. (Bob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""de Haan, J. (Jan-Jaap) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""van Opstal, J.M.M. (Jochgem) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,39,""Gardeniers, B.H.M. (Barbara) (v)"",2,0,0,0,0,2,0,0,0,0,0,0"
",,40,""Bal, M. (Mustafa) (m)"",1,0,0,0,0,0,1,0,0,0,0,0"
",,41,""Vrugt, R. (René) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""van Dekken, B. (Bart) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""Vloet, W.J.M.M. (Wiljan) (m)"",1,0,1,0,0,0,0,0,0,0,0,0"
",,44,""von Martels, M.R.H.M. (Maurits) (m)"",13,7,0,4,1,0,0,0,0,0,0,1"
",,45,""van der Broek, J.M.A.R. (Roy) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Bakker, G.J. (Gert-Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,47,""Jager, M.J. (Marc) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,48,""Havelaar, R.B. (Rogier) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Meerkerk, C.F. (Frank) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,50,""Ramcharan, R. (Radj) (m)"",2,0,0,1,0,0,0,1,0,0,0,0"
"6,Democraten 66 (D66),1,""Pechtold, A. (Alexander) (m)"",253,17,26,14,34,28,28,36,20,21,7,22"
",,2,""van Veldhoven, S. (Stientje) (v)"",22,2,1,2,2,5,3,2,0,3,2,0"
",,3,""Koolmees, W. (Wouter) (m)"",2,0,0,0,0,1,1,0,0,0,0,0"
",,4,""Dijkstra, P.A. (Pia) (v)"",31,2,3,3,6,1,4,2,2,2,5,1"
",,5,""van Engelshoven, I.K. (Ingrid) (v)"",3,0,0,0,1,0,0,0,1,1,0,0"
",,6,""Bergkamp, V.A. (Vera) (v)"",7,1,0,0,0,2,0,3,1,0,0,0"
",,7,""Verhoeven, K. (Kees) (m)"",3,1,0,0,2,0,0,0,0,0,0,0"
",,8,""van Meenen, P.H. (Paul) (m)"",1,0,1,0,0,0,0,0,0,0,0,0"
",,9,""Paternotte, J.M. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Van Weyenberg, S.P.R.A. (Steven) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Sjoerdsma, S.W. (Sjoerd) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Jetten, R.A.A. (Rob) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""Van Eijs, J.M. (Jessica) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Belhaj, S. (Salima) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Groothuizen, M. (Maarten) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Bouali, A. (Achraf) (m)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,17,""Raemakers, R. (Rens) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Diertens, A.E. (Antje) (v)"",4,0,1,0,0,1,0,1,1,0,0,0"
",,19,""de Groot, T.C. (Tjeerd) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""den Boer, M.G.W. (Monica) (v)"",4,0,2,0,0,1,0,1,0,0,0,0"
",,21,""Sienot, M.F. (Matthijs) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Sneller, J.C. (Joost) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Schonis, R.A.J. (Rutger) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""van Beukering - Huijbregts, M.J.T.G. (Marijke) (v)"",2,0,0,0,0,1,0,0,0,0,0,1"
",,25,""Meijer, A.A. (Arend) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Eurlings - Tonnaer, F.M.C.L. (Franca) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Ramlal, M.R. (Munish) (m)"",3,0,0,3,0,0,0,0,0,0,0,0"
",,28,""van Bemmel, M.E. (Martine) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Lamers, C.B.M. (Kristie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""van Essen, J. (Jaimi) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""Verbrugge - Wormgoor, D.C. (Dina) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""van der Laan, J.M.P. (Jeanet) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""Zarroy, N. (Noureddine) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""Winkel, B.T. (Bastiaan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""Bamenga, P. (Mpanzu) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""Sanders, N.P.C. (Noëlle) (v)"",2,0,0,0,1,1,0,0,0,0,0,0"
",,37,""Guernaoui, R. (Rachid) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""Kat, H. (Hülya) (v)"",1,0,0,0,0,0,1,0,0,0,0,0"
",,39,""Keij, E.J. (Eelco) (m)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,40,""Bosman, A.M. (Marijn) (v)"",1,0,0,0,0,0,0,0,0,0,0,1"
",,41,""Schukking, S.S. (Sietze) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""Schepel, W.D. (Wibo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""Glastra van Loon, J.H. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,44,""van Vugt, T. (Thierry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""van Dun, C.M. (Corine) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Wirken, S.T. (Stefan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,47,""de Smoker - van Andel, N. (Nelleke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,48,""Hoogeveen, T.C. (Carmen) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Terlouw, G. (Bert) (m)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,50,""Ross, H.J. (Dick) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"7,ChristenUnie,1,""Segers, G.M. (Gert-Jan) (m)"",3102,230,322,231,293,219,274,342,410,295,139,347"
",,2,""Schouten, C.J. (Carola) (v)"",120,12,9,7,11,9,15,8,9,11,10,19"
",,3,""Voordewind, J.S. (Joël) (m)"",19,1,2,0,5,0,5,0,1,2,0,3"
",,4,""Dik - Faber, R.K. (Carla) (v)"",39,3,3,4,4,3,3,5,3,3,0,8"
",,5,""Bruins, E.E.W. (Eppo) (m)"",2,1,0,0,0,1,0,0,0,0,0,0"
",,6,""van der Graaf, S.J.F. (Stieneke) (v)"",30,3,1,1,6,3,2,4,5,2,0,3"
",,7,""Ceder, D.G.M. (Don) (m)"",29,4,1,0,2,1,4,8,1,2,2,4"
",,8,""Vreugdenhil, H.J. (Hermen) (m)"",2,0,0,0,1,0,0,0,1,0,0,0"
",,9,""Drost, N. (Nico) (m)"",8,0,1,0,1,1,2,2,0,1,0,0"
",,10,""Gooijer - Medema, J.K. (Joëlle) (v)"",15,3,2,0,4,0,0,1,2,1,0,2"
",,11,""Huisman, G.W. (Gerben) (m)"",2,0,0,1,1,0,0,0,0,0,0,0"
",,12,""Rots, D.G. (Gerdien) (v)"",6,0,0,1,1,0,1,0,3,0,0,0"
",,13,""Tijhof, B.D. (Bert) (m)"",1,0,0,0,0,0,0,0,0,1,0,0"
",,14,""Grinwis, P.A. (Pieter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Vlieg - Kempe, H.A. (Harmke) (v)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,16,""Meijer, L.E. (Leon) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Janssen, J. (Jannes) (m)"",2,0,0,0,0,0,0,0,0,0,0,2"
",,18,""Heuvelink, M.E.C. (Marijke) (v)"",2,0,1,0,0,0,0,0,1,0,0,0"
",,19,""van 't Foort, S. (Sander) (m)"",2,0,0,0,0,0,0,0,0,2,0,0"
",,20,""Treurniet - Klapwijk, W.A. (Willemien) (v)"",3,0,0,0,0,0,2,0,1,0,0,0"
",,21,""Mostert, I.G. (Gerard) (m)"",5,0,0,2,0,1,0,0,0,1,0,1"
",,22,""Kennedy - Doornbos, S.J. (Simone) (v)"",12,3,2,0,0,1,1,0,0,0,2,3"
",,23,""Ebid, E.K. (Esam) (m)"",2,0,0,0,0,1,0,1,0,0,0,0"
",,24,""Hofstra, H.J. (Harold) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Kumar, A.D.J.M. (Anil) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Weigand - Timmer, H.A.C. (Jet) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Visser, B. (Ben) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Kaper - Hartenberg, E.T. (Esther) (v)"",3,0,0,1,0,0,2,0,0,0,0,0"
",,29,""Krins, J.T. (Theo) (m)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,30,""Schuring, H. (Heimen) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""van Tatenhove - Meesen, J.A. (Ankie) (v)"",2,0,1,0,0,0,0,0,1,0,0,0"
",,32,""Joosten - Leijendekker, J.M.J. (Janny) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""Zuidervaart, L.M. (Loes) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""Jaspers Faijer, B. (Bart) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""Jongman - Mollema, I.M. (Inge) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""de Haan, J.T. (Jesse) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Baars, H.C. (Dico) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""Visser, F.C. (Frank) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,39,""Klein, A.C. (Annacarina) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""Seyed Mehdi, F. (Farshid) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,41,""Kooij - Bas, A.E. (Els) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""van Kranenburg, C.J. (Kees) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""van den Berg, G. (Gert) (m)"",2,0,0,0,0,0,0,0,0,1,0,1"
",,44,""Balootje, I.S. (Ixora) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""van Zaalen, F.P. (Frans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Haga, A. (Anja) (v)"",1,0,0,0,0,0,0,0,0,1,0,0"
",,47,""van der Spoel, P.L.R. (Ron) (m)"",3,1,0,0,0,0,0,0,0,0,0,2"
",,48,""Stoorvogel, H. (Henk) (m)"",3,0,1,0,0,0,2,0,0,0,0,0"
",,49,""van der Veer, A. (Arie) (m)"",3,0,0,0,0,1,0,0,0,2,0,0"
",,50,""Bottenbley, O.E. (Orlando) (m)"",6,0,0,0,3,1,2,0,0,0,0,0"
"8,GROENLINKS,1,""Klaver, J.F. (Jesse) (m)"",207,32,18,12,29,30,26,13,10,17,4,16"
",,2,""Buitenweg, K.M. (Kathalijne) (v)"",19,2,1,2,3,2,4,2,1,1,0,1"
",,3,""van der Lee, T.M.T. (Tom) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,4,""Voortman, L.G.J. (Linda) (v)"",5,2,0,0,0,0,1,1,0,0,0,1"
",,5,""Grashoff, H.J. (Rik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""van Tongeren, L. (Liesbeth) (v)"",1,0,0,0,0,0,0,1,0,0,0,0"
",,7,""de Jonge van Ellemeet, C.E. (Corinne) (v)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,8,""Özdil, Z. (Zihni) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,9,""Snels, B.A.W. (Bart) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""van Ojik, A. (Bram) (m)"",3,0,0,1,0,0,2,0,0,0,0,0"
",,11,""Kröger, S.C. (Suzanne) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Özütok, N. (Nevin) (v)"",7,0,0,0,4,2,0,0,0,1,0,0"
",,13,""Smeulders, P.H.M. (Paul) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Westerveld, E.M. (Lisa) (v)"",4,0,0,1,0,0,3,0,0,0,0,0"
",,15,""Bromet, L. (Laura) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Renkema, W.J.T. (Wim-Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""van Essen, H.P. (Huib) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""van den Berge, C.N. (Niels) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""Diks, L.I. (Isabelle) (v)"",2,0,1,1,0,0,0,0,0,0,0,0"
",,20,""van den Nieuwenhuijzen - Wittens, T.J.H. (Tom) (m)"",2,0,0,0,0,2,0,0,0,0,0,0"
",,21,""Mahtab, I.A.F. (Ilias) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Bouwkamp, C.C. (Cathelijne) (v)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,23,""van den Bosch, D. (Dirk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""van der Steenhoven, M.V. (Maya) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Bonte, A. (Arno) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""van der Kleij, A.M. (Marion) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Kuipers, J.N. (Hans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Arnoldussen, J. (Jonne) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Duursma, J. (Janet) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Önder, A. (Armağan) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""Vintges, V.A.M. (Volkert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""Bashara, S.R. (Samir) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""Bellemakers, H.A. (Huub) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""Smelik, C.W. (Cora) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""Schers, S.R.M. (Sophie) (v)"",3,0,0,0,0,0,0,3,0,0,0,0"
",,36,""Klijmij - van der Laan, M. (Michel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Piers, R.P.A. (Rocco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""Vermast, P.L.A. (Paul) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,39,""Snaas, M. (Marjoleine) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""van Oort, K.J.H.A. (Kevin) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,41,""Hirsch, D.H. (Daniëlle) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""van Grootheest, G.J. (Gerdo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""van Hooijdonk, L.H.L. (Lot) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,44,""Kapteijns, F.H.A. (Frans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""Scholten, H.T.M. (Lenie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Muambi, A.O. (Alphonse) (m)"",2,0,0,0,0,0,2,0,0,0,0,0"
",,47,""Homan - Brinkman, N. (Nienke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,48,""El Fassed, A. (Arjan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Rüter, J.S. (Bas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,50,""van Gent, W. (Ineke) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
"9,Staatkundig Gereformeerde Partij (SGP),1,""van der Staaij, C.G. (Kees) (m)"",935,72,70,63,74,67,101,103,120,109,72,84"
",,2,""Dijkgraaf, E. (Elbert) (m)"",58,8,4,9,6,2,7,4,3,5,4,6"
",,3,""Bisschop, R. (Roelof) (m)"",2,0,0,0,0,0,0,1,0,1,0,0"
",,4,""Ruissen, H.J.A. (Bert-Jan) (m)"",2,0,0,0,0,2,0,0,0,0,0,0"
",,5,""Stoffer, C. (Chris) (m)"",3,0,0,0,0,3,0,0,0,0,0,0"
",,6,""Schipaanboord, G.P. (Geert) (m)"",3,0,0,0,1,0,0,2,0,0,0,0"
",,7,""Kloosterman, J. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""Tanis, J.P. (Hans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Veldman, J.D. (Joost) (m)"",1,0,0,0,0,0,0,0,0,0,1,0"
",,10,""Nieuwenhuis, E.J. (Evert Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Weggeman, A. (Arnold) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Hoek, P.W.J. (Peter) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,13,""de Knegt, L. (Leendert) (m)"",6,2,0,0,2,1,0,0,1,0,0,0"
",,14,""Flach, A.J. (André) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""van Wikselaar, W. (Wim) (m)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,16,""van Leeuwen, G.R. (Gert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Bosma, E.G. (Ewart) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Kok, W.H. (Wim) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""Bakker, T. (Tom) (m)"",1,0,0,0,0,0,1,0,0,0,0,0"
",,20,""Boonzaaijer, G. (Gerrit) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""Simonse, J.N. (Sjaak) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""van Duijn, W.J. (Wim) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""van Westreenen, S. (Steven) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""van 't Land, J.A. (Hans) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""Noordergraaf, P.T. (Peter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""Benschop, J.W. (Jan Willem) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Dorst, A.I.G. (Ad) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""van den Berg, W. (Wouter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""de Vries, W. (Wim) (m)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,30,""Brouwer, M. (Mark) (m)"",1,1,0,0,0,0,0,0,0,0,0,0"
"10,Partij voor de Dieren,1,""Thieme, M.L. (Marianne) (v)"",80,5,7,3,15,9,8,10,9,10,0,4"
",,2,""Ouwehand, E. (Esther) (v)"",6,0,1,1,0,1,0,2,0,0,0,1"
",,3,""van Raan, L. (Lammert) (m)"",2,0,0,0,0,0,0,1,1,0,0,0"
",,4,""Wassenberg, F.P. (Frank) (m)"",1,0,1,0,0,0,0,0,0,0,0,0"
",,5,""Arissen, F.M. (Femke Merel) (v)"",3,2,1,0,0,0,0,0,0,0,0,0"
",,6,""van Esch, E.M. (Eva) (v)"",1,0,0,0,0,0,0,0,0,1,0,0"
",,7,""Teunissen, C. (Christine) (v)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,8,""van Leeuwen, M. (Floriske) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Koffeman, N.K. (Niko) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Engelen, E.R. (Ewald) (m)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,11,""van Lammeren, J.F.W. (Johnas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""Akerboom, E.S. (Eva) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,13,""van Liere, A.E. (Bram) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""van Voorthuizen, G.S.L. (Stephanie) (v)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,15,""van der Wel, M.C. (Marco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""van der Veer, L.R. (Luuk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""van Viegen, A.H.K. (Carla) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Keller, H.J. (Hiltje) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""van Doorn, M.E.C. (Michelle) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Plusquin, P.S.M.L. (Pascale) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""van der Velden, R.T.J. (Ruud) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Smit, I.R. (Ilse) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Vestering, L. (Leonie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Travaille, A. (Anjo) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""de Wrede, K. (Kirsten) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""van der Zanden, C.J.M. (Rinie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,27,""Janssens, T.A.O. (Trees) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Kostić, I. (Ines) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,29,""Hazekamp, A.A.H. (Anja) (v)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,30,""Berendse, F. (Frank) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,31,""Biesheuvel, J.M.A. (Maarten) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""Cruiming, J.P. (Jan-Peter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""Dumon Tak, M.A. (Bibi) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""Engelsman, V.L. (Volkert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,35,""de Haas, J.L. (Johan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""van der Heijden, A.F.T. (Adri) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Herstel, M. (Malou) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""van der Steen, M.F. (Mensje) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,39,""Meijer, E.R. (Eva) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""Mutsaers, C.J.M. (Charlotte) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,41,""Nicolaï, P. (Peter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""Postma, A. (Annemarie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""Rot, J. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,44,""Rotenstreich, M.M. (Mirjam) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""de Schepper, T. (Teske) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Schrijver, J.W. (Annemiek) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,47,""Siebelink, J.G. (Jan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
