LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17,Sb 18
,,49,"Pauwels - Paauw, M.S. (Mirjam) (v)",5,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
,,50,"Bolkestein, M.N. (Martijn) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,51,"Snoeren, M.A.J. (Mark) (m)",4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
,,52,"Heemskerk, J.J. (Jacco) (m)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,53,"Tönjann - Levert, W.E. (Wendelien) (v)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,54,"van Rijn, R.K. (Robert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,55,"de Reus, J. (Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,56,"Dral, R.M. (Rosemarijn) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,57,"Korting, I.A. (Irene) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,58,"Arends - Drijver, K. (Kathy) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,59,"Lock, K.P. (Krijn) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,60,"Hoekstra, F. (Falco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,61,"van Schie, A.G. (André) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,62,"Struijlaart, E. (Erik) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,63,"Haseloop - Amsing, T.H. (Tanja) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,64,"Jacobs, B. (Barry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65,"Elbertsen, J. (Jenny) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,66,"van Dijk, S. (Saskia) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,67,"Mos, J. (Jasper) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,68,"Böcker, B.M. (Linda) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,69,"de Rijk, R.H. (Roeland) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,70,"Welter, Y. (Yvonne) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,71,"Derks, N.G. (Nick) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,72,"Joziasse, M. (Miranda) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,73,"Bevers, H. (Harry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,74,"Prins, A.J. (Anja) (v)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,75,"Huisman - Peelen, H. (Hennie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,76,"Bonnevits - de Jong, L. (Laurine) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,77,"Lochtenberg, D.S.K. (Dylan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,78,"Larson, C.R. (Crys) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,79,"Zevenbergen, E.F.A. (Frederik) (m)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,80,"van der Weijden, M. (Maarten) (m)",4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
2,Partij van de Arbeid (P.v.d.A.),1,"Asscher, L.F. (Lodewijk) (m)",501,57,30,20,23,5,45,42,54,19,26,18,37,18,43,2,31,30,1
,,2,"Arib, K. (Khadija) (v)",53,2,3,1,1,1,5,7,9,4,2,0,5,1,3,4,4,1,0
,,3,"Dijsselbloem, J.R.V.A. (Jeroen) (m)",74,7,6,0,4,1,5,3,9,2,3,4,6,3,6,0,6,7,2
,,4,"Dijksma, S.A.M. (Sharon) (v)",65,7,4,2,4,2,5,4,8,1,3,8,3,1,6,0,5,2,0
