contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Oostzaan,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpscentr. De KunstGreep,0431::SB1,1511BD,1656,873,3,4,0,0,1,781,98,0,0,0,0,0,880,41,59,46,127,25,187,28,85,55,51,0,7,0,145,6,11
,Oostzaan,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Korenaar,0431::SB2,1511VH,1401,466,0,0,0,0,0,425,40,0,1,0,1,0,465,17,41,23,52,21,104,31,53,27,20,3,1,0,69,3,1
,Oostzaan,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum Evean Lishof,0431::SB3,1511XN,1611,815,1,3,0,0,0,726,93,0,0,0,0,0,819,47,59,32,139,28,178,23,96,38,39,0,0,4,122,2,8
,Oostzaan,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Noorderschool,0431::SB4,1511AS,1321,404,0,0,0,0,0,353,51,0,0,0,0,0,404,17,30,14,72,7,71,7,27,30,21,0,0,0,98,2,8
,Oostzaan,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Kweekvijver,0431::SB5,1511LK,1659,782,2,2,0,0,2,696,88,0,0,0,0,0,786,49,47,53,129,38,127,13,53,33,60,1,6,1,161,0,11
