contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadhuis Sneek,1900::SB1,8601 CR,1011,1099,2,3,313,328,72,91,114,84,19,24,1,20,4,0,0,1,0,22,0,0,6,0
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ysbr. Doarpshûs It Nije Formidden,1900::SB2,8633 JA,514,463,0,0,127,122,37,89,21,29,11,7,4,5,1,1,0,1,1,6,0,0,1,0
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau ROC Friese Poort,1900::SB3,8602 JX,1142,879,1,0,233,221,52,189,46,52,15,40,5,5,5,1,0,0,0,14,0,0,1,0
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ut Wykje,1900::SB4,8607 BG,1303,683,0,5,96,249,115,72,87,9,12,17,0,15,0,0,0,0,0,11,0,0,0,0
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Eekmolen,1900::SB5,8606 EJ,1142,739,0,0,109,278,104,66,89,35,8,15,0,5,0,0,0,2,1,22,0,0,2,3
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Frittemahof (nieuwe hoofdingang),1900::SB6,8604 AA,1363,1128,1,1,297,365,49,173,55,109,12,40,2,11,3,1,1,0,3,7,0,0,0,0
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau It Skûlplak,1900::SB7,8603 AP,1060,807,0,1,127,296,59,125,84,40,18,23,3,15,5,2,0,0,1,7,0,0,2,0
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dr Wumkeshûs,1900::SB8,8606 AV,1225,866,1,3,162,276,104,101,95,31,13,21,4,20,2,1,0,0,5,25,0,1,4,1
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Parkflat (Stadsfenne),1900::SB9,8604 ZG,1319,1047,2,3,191,320,57,216,65,63,17,71,3,16,4,3,0,0,1,12,2,0,3,3
Leeuwarden,Súdwest-Fryslân,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bonifatiushuis,1900::SB10,8605 BW,896,798,1,2,188,246,49,118,69,70,21,18,1,7,1,3,0,0,0,5,0,0,2,0
