contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Dordrecht,Goedereede,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Verenigingsgebouw ""Oostdam""",0511::SB1,3252 AV,1658,1335,3,0,412,169,97,112,82,63,7,123,221,18,7,1,0,0,1,15,0,1,5,1
Dordrecht,Goedereede,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Verenigingsgebouw ""Dorpstienden""",0511::SB2,3253 AS,1477,1531,1,3,538,116,95,153,32,43,19,88,410,19,2,2,0,0,0,14,0,0,0,0
Dordrecht,Goedereede,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Verenigingsgebouw ""Eben Haëzer""",0511::SB3,3253 VJ,1662,1310,0,4,342,98,104,102,46,19,2,87,483,9,1,1,0,0,0,13,0,0,3,0
Dordrecht,Goedereede,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Zorgcentrum ""De Vliedberg""",0511::SB4,3253 BJ,1295,1049,0,1,213,116,102,98,49,25,5,74,336,9,2,0,0,0,0,18,0,0,1,1
Dordrecht,Goedereede,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Verenigingsgebouw ""De Rank""",0511::SB5,3251 AB,1384,1016,2,0,253,139,141,82,58,37,6,70,184,27,1,1,0,0,0,13,0,1,3,0
Dordrecht,Goedereede,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Verenigingsgebouw ""'t Haegse Huus""",0511::SB6,3251 CR,1294,1036,1,2,222,226,118,91,72,26,2,78,161,10,1,6,1,0,2,20,0,0,0,0
