contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
's-Hertogenbosch,Landerd,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Wijers,1685::SB1,5374 AB,1756,1421,1,3,375,284,143,183,279,82,12,0,0,18,4,3,2,0,2,33,0,1,0,0
's-Hertogenbosch,Landerd,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 'De Phoenix',1685::SB2,5374 BG,1769,1444,1,3,526,243,118,153,221,96,21,5,2,11,4,2,0,1,1,36,0,1,1,2
's-Hertogenbosch,Landerd,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Café Feesterij De Potter,1685::SB3,5374 CA,1901,1420,2,2,511,268,127,162,175,106,12,7,0,13,3,2,0,0,2,27,0,0,3,2
's-Hertogenbosch,Landerd,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 'Het Wapen van Reek',1685::SB4,5375 AK,1281,1041,2,1,311,174,103,117,217,71,19,2,1,7,4,1,0,0,1,11,0,1,0,1
's-Hertogenbosch,Landerd,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 'De Garf',1685::SB5,5411 EA,1810,1626,3,6,464,263,156,231,312,91,27,3,1,26,2,1,1,0,0,47,0,0,0,1
's-Hertogenbosch,Landerd,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Compostella,1685::SB6,5411 BK,1572,1266,1,2,300,240,142,195,246,76,6,6,0,10,3,1,0,0,3,32,2,0,3,1
's-Hertogenbosch,Landerd,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Café 't Oventje,1685::SB7,5411 NV,1540,920,0,0,364,115,72,136,144,48,14,3,0,6,4,0,0,0,0,11,0,0,3,0
