contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis,0756::SB1,5831 JX,1060,950,0,1,274,132,61,112,249,71,8,3,0,9,6,1,0,1,0,18,0,1,4,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau de Weijerdonck,0756::SB2,5831 JV,1240,802,1,1,207,113,40,114,233,61,10,3,1,7,2,0,0,0,0,8,0,0,2,1
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Openbare Basisschool ""het Ogelijn""",0756::SB3,5831 SC,962,1100,2,2,170,200,75,56,475,69,14,5,2,7,2,2,0,0,0,20,0,0,1,2
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Administratie Spring,0756::SB4,5831 EB,1330,919,1,5,156,167,84,65,349,46,19,0,0,9,3,2,0,0,0,16,0,0,2,1
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Madeleine,0756::SB5,5831 LL,1352,1056,2,5,180,142,73,99,464,54,8,7,2,7,0,0,0,0,0,17,2,0,1,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Restaria De Flip,0756::SB6,5831 MB,1195,1371,4,2,222,288,106,80,538,75,23,0,0,18,1,3,0,0,2,12,0,1,2,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Buurthuis ""de Elsenhof"" Sambeek",0756::SB7,5836 AN,1275,1088,1,1,228,144,53,139,430,55,8,6,2,2,1,1,0,0,1,10,0,0,7,1
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zaal het Posthuis,0756::SB8,5835 AT,1291,1094,0,2,245,139,77,162,344,70,16,5,5,12,0,0,0,3,0,12,0,0,1,3
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemhuis""de Kleppenburg"" Oeffelt",0756::SB9,5441 BK,1779,1469,2,2,384,209,121,184,423,75,19,4,1,17,3,0,0,1,0,26,0,0,2,0
's-Hertogenbosch,Boxmeer,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Dorpshuis ""de Poel"" Rijkevoort",0756::SB10,5447 AW,1241,1036,1,0,271,152,57,172,287,57,4,3,0,10,1,2,0,0,1,15,0,0,4,0
