contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
's-Hertogenbosch,Haaren,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis 1,0788::SB1,5076 AV,2008,1711,6,2,564,320,124,250,219,124,25,5,0,28,3,3,3,0,0,37,0,1,4,1
's-Hertogenbosch,Haaren,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis 2,0788::SB2,5076 AV,2231,1527,5,2,518,272,96,204,190,123,34,6,1,31,2,2,0,1,3,38,0,0,5,1
's-Hertogenbosch,Haaren,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gastenbosch 3,0788::SB3,5268 CA,1681,1380,0,1,468,222,130,172,167,117,31,13,3,21,4,7,0,1,2,20,2,0,0,0
's-Hertogenbosch,Haaren,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gastenbosch 4,0788::SB4,5268 CA,1909,1403,2,2,460,244,115,219,146,117,29,8,0,31,2,2,1,0,0,25,1,0,1,2
's-Hertogenbosch,Haaren,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Es 5,0788::SB5,5296 LT,1697,1278,3,1,385,293,121,187,125,84,32,3,0,23,4,0,0,0,0,20,0,0,1,0
's-Hertogenbosch,Haaren,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Vorselaer 6,0788::SB6,5074 PJ,1089,669,3,2,263,112,38,113,74,34,12,4,0,5,1,2,0,0,0,11,0,0,0,0
