contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Stadhuis, Beekstraat 54",0988::SB1,6001 GJ,1701,1686,4,5,591,307,187,161,181,137,29,9,0,29,2,4,1,1,0,45,0,1,0,1
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Odaschool, Anjelierstraat 9",0988::SB3,6002 TP,1840,1337,2,0,354,287,239,55,225,86,19,5,1,28,6,1,0,1,0,25,0,1,1,3
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Blokhut Scouting, Nieuwstraat 90",0988::SB4,6001 TZ,2001,1265,2,2,243,303,280,60,218,61,13,4,1,27,4,4,0,2,2,39,1,0,2,1
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Jongerencentrum M29, Maaspoort 29",0988::SB5,6001 BN,906,662,0,0,272,110,68,68,55,55,5,1,0,8,1,4,0,0,0,13,0,0,1,1
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau School Aan de Bron, Maaslandlaan 1",0988::SB6,6004 GC,1392,1065,1,8,246,280,185,67,135,59,13,4,1,20,3,4,3,1,2,36,0,0,5,1
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Zorgcentrum Hieronymus, Biest 43",0988::SB7,6001 AP,1545,1011,4,2,281,211,169,83,152,51,16,9,0,10,2,4,3,0,1,16,0,1,2,0
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemeenschapscentrum, Pius X-hof 24",0988::SB8,6006 AZ,1704,917,0,2,178,242,166,49,155,46,8,14,2,11,3,1,0,0,1,34,1,1,4,1
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Keenter Hart, St. Jozefskerkplein 3",0988::SB9,6006 ZH,1818,1235,3,3,265,301,204,80,204,73,28,6,3,19,2,1,0,0,2,45,0,0,2,0
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Sportpark Graswinkel, Fuutstraat 4",0988::SB10,6005 JZ,1833,1277,5,3,355,273,181,85,200,102,24,5,0,18,2,2,0,1,2,22,0,1,4,0
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau MFA Kimpeveld, St. Barbaraplein 2",0988::SB11,6005 SR,772,597,2,3,201,60,96,92,72,32,9,5,1,9,0,0,0,0,0,15,1,2,2,0
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Sportpark Op den Das, Bocholterweg 89",0988::SB12,6006 TL,860,643,1,0,237,96,73,84,72,31,10,4,1,18,2,0,0,0,0,11,1,0,1,2
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Trefcentrum, Willem Litjenshof 16",0988::SB13,6002 CW,1757,1224,4,0,439,212,175,110,159,67,8,6,1,7,0,1,0,0,2,35,0,0,2,0
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Kantine SV Laar, Molenakkerdreef 101",0988::SB14,6003 BD,2385,1531,7,1,592,279,157,105,168,145,22,2,0,21,4,2,0,0,2,28,0,0,2,2
Maastricht,Weert,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau St. Franciscusschool, Aldenheerd 10",0988::SB15,6003 NW,1208,882,1,3,337,133,102,90,98,60,12,3,0,17,0,4,0,0,0,23,0,0,1,2
