contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadhuis,0758::SB1,,1891,1508,4,3,521,330,75,68,150,232,52,12,0,36,13,3,0,2,0,8,2,1,2,1
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau RK BS St. Joseph,0758::SB2,,2116,1065,1,0,345,258,50,34,98,196,42,4,0,19,7,0,0,0,1,7,2,0,2,0
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Cingel College,0758::SB3,,2369,1602,5,5,522,382,83,59,174,235,54,10,1,39,8,7,0,1,0,24,1,0,1,1
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorg en Behandelcentrum Elisabeth,0758::SB4,,1633,867,3,3,228,190,71,60,119,108,34,5,3,24,5,4,0,0,1,12,0,0,0,3
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Singel,0758::SB5,,1999,1208,6,4,358,299,93,26,160,169,38,8,2,30,4,2,0,0,1,10,0,0,5,3
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadskantoor,0758::SB6,,1790,2062,8,1,696,450,121,109,227,280,51,12,0,37,23,4,0,6,1,36,1,0,6,2
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau NHTV,0758::SB10,,1630,945,2,4,185,291,87,30,134,120,33,2,1,27,6,5,2,0,2,17,0,0,0,3
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Rudolf Steinerschool,0758::SB11,,2278,1487,2,3,303,437,159,34,175,213,73,8,0,30,11,3,0,0,1,37,0,0,2,1
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Liniedoorn,0758::SB12,,1972,1234,0,0,206,408,181,56,210,83,26,7,0,24,15,2,0,1,0,11,0,1,1,2
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 't Rietveldhuis,0758::SB13,,899,478,1,4,54,161,93,26,83,21,11,4,0,10,1,2,0,0,0,7,1,0,3,1
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau BS De Fontein,0758::SB14,,1514,791,4,3,78,310,112,62,130,27,8,7,4,10,2,2,0,0,0,34,1,1,2,1
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Woon- zorgcentrum Raffy,0758::SB15,,2429,1377,2,1,277,505,170,42,177,77,32,18,8,27,9,4,0,0,1,26,1,0,1,2
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Wegwijzer,0758::SB16,,1816,1074,2,4,201,319,196,49,159,65,20,13,4,15,6,1,0,0,4,21,0,0,0,1
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Wisselaar,0758::SB17,,1827,915,2,3,101,335,186,39,160,31,11,4,1,12,4,2,0,0,2,26,0,0,1,0
Tilburg,Breda,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeenschapshuis De Biesdonk,0758::SB18,,1695,973,0,8,140,319,177,59,144,49,12,5,2,16,6,2,0,0,2,27,0,0,11,2
