contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,ChristenUnie,Sallandse Gemeentebelangen,Staatkundig Gereformeerde Partij (SGP),VVD,Algemene Waterschapspartij
Groot Salland,Ommen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,"Stembureau Jeugdgebouw ""de Schakel""",0175::SB2,8148 PD,433,204,1,0,0,0,0,176,29,0,0,0,0,0,0,205,32,90,9,38,3,27,5
Groot Salland,Ommen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,"Stembureau Verenigingsgebouw ""Irene""",0175::SB7,7738 PB,825,446,3,0,0,0,58,391,0,0,0,0,0,0,0,449,75,175,70,33,40,41,12
Groot Salland,Ommen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,"Stembureau Restaurant ""de Wildzang""",0175::SB16,7731 AX,302,57,3,1,0,0,0,57,4,0,0,0,0,0,0,61,13,18,2,7,4,9,4
Groot Salland,Ommen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,"Stembureau Kerkelijk centrum ""de Kern""",0175::SB17,7731 CP,412,168,1,1,0,0,0,145,25,0,0,0,0,0,0,170,30,63,8,22,9,31,5
Groot Salland,Ommen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,"Stembureau Restaurant ""de nieuwe Brug""",0175::SB19,7731 PR,82,53,1,0,0,0,0,46,8,0,0,0,0,0,0,54,18,19,0,1,0,13,2
Groot Salland,Ommen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau LARCOM,0175::SB22,7731 SM,155,59,0,0,0,0,0,52,7,0,0,0,0,0,0,59,8,11,19,2,6,13,0
Groot Salland,Ommen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Mobiel stembureau,0175::SB23,,0,102,2,0,0,0,0,86,18,0,0,0,0,0,0,104,18,70,2,1,0,9,2
