contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH),JEZUS LEEFT
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gemeentehuis,0597::SB1,2981 EA,1104,923,1,3,0,6,0,853,80,0,0,6,0,0,933,92,69,41,55,83,47,94,78,43,24,71,32,0,1,188,4,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sint Jorisparochie,0597::SB2,2982 PE,982,424,0,2,0,0,0,393,33,0,0,0,0,0,426,32,49,16,27,34,23,44,22,16,21,18,9,4,3,102,2,2
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Rehobothschool,0597::SB3,2985 AZ,1048,481,1,3,0,3,0,409,79,0,0,3,0,0,488,32,27,8,19,16,29,130,74,17,15,28,10,1,2,70,0,3
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gasterij de Ontmoeting,0597::SB4,2982 BD,1254,904,8,3,0,0,0,826,89,0,0,0,0,0,915,77,62,32,94,89,40,165,80,23,33,73,5,0,1,122,8,0
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Kantine HV Saturnus,0597::SB5,2982 CM,1221,372,2,1,0,0,0,334,41,0,0,0,0,0,375,23,39,16,24,37,16,52,26,20,12,20,10,1,1,70,5,0
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Kerk de Levensbron,0597::SB6,2985 BV,1210,775,1,2,0,1,0,690,89,0,0,1,0,0,779,84,43,35,64,58,24,122,78,32,22,56,10,2,3,134,6,2
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau OBS de Noord,0597::SB7,2985 XB,1389,646,2,3,0,0,0,574,77,0,0,0,0,0,651,52,73,24,31,48,36,58,42,43,21,50,8,8,1,145,4,2
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau CBS de Wingerd,0597::SB8,2985 BC,1671,1126,1,2,0,1,0,1005,125,0,0,1,0,0,1130,162,76,36,79,80,39,165,110,45,42,57,7,2,5,216,4,1
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wilhelminakerk,0597::SB9,2983 SH,1512,522,2,5,0,0,1,477,51,0,0,0,0,0,529,52,61,23,39,24,30,58,44,24,15,19,4,0,1,126,2,0
Dordrecht,Ridderkerk,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau WVC Slikkerveer,0597::SB10,2983 AT,979,573,0,1,0,0,0,508,66,0,0,0,0,0,574,58,49,27,32,28,24,78,63,31,19,31,5,1,2,121,4,0
