contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 001 Stadskantoor,0772::SB1,,1209,477,2,1,0,0,3,445,32,0,0,0,0,0,480,87,31,26,16,82,41,74,10,29,4,6,4,62,2,0,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 002 Basisschool De Driestam,0772::SB2,,1147,400,1,1,0,0,0,368,34,0,0,0,0,0,402,47,26,43,27,52,27,57,18,23,8,3,7,39,16,6,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 003 Basisschool Fellenoord,0772::SB3,,1147,602,2,2,0,0,1,561,44,0,0,0,0,0,606,62,27,63,45,60,50,64,29,39,17,13,10,76,39,3,5
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 004 Buurtinfowinkel Woensel-West,0772::SB4,,1693,812,0,7,0,0,0,758,61,0,0,0,0,0,819,63,26,79,46,142,82,167,16,64,4,6,2,63,45,3,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 005 zorgcentrum De Horst,0772::SB5,,1484,495,4,5,0,1,0,464,39,0,1,0,0,0,503,56,60,54,43,33,38,49,28,14,20,8,2,54,27,8,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 006 Basisschool Atalanta,0772::SB6,,3177,623,6,0,0,0,0,573,56,0,0,0,0,0,629,57,38,63,61,50,56,54,35,27,4,13,8,93,57,6,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 007 B&O gebouw,0772::SB7,,2264,630,1,4,0,0,0,571,64,0,0,0,0,0,635,44,34,63,56,54,56,100,34,32,11,8,6,89,32,2,9
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 008 B&O gebouw,0772::SB8,,1680,794,1,0,0,0,0,729,66,0,0,0,0,0,795,102,69,78,47,85,72,77,32,52,41,13,8,93,18,4,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 009 Ontmoetingsruimte Pieter Eiffhuis,0772::SB9,,2546,660,4,2,0,0,0,615,50,0,1,0,0,0,665,71,79,74,45,48,47,42,72,20,17,7,19,104,2,9,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 010 Basisschool Gunterslaer,0772::SB10,,1368,957,2,2,0,1,0,873,90,0,0,2,0,0,963,157,92,69,58,100,76,93,52,49,9,28,14,140,4,14,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 011 VTA De Mortel,0772::SB11,,3096,867,0,3,0,0,1,791,78,0,0,0,0,0,870,106,64,82,63,40,51,85,89,40,16,11,13,185,4,11,7
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 012 Gymzaal Bordeauxlaan,0772::SB12,,2662,590,1,3,0,0,0,526,70,0,0,2,0,0,596,43,49,64,46,50,35,68,34,30,19,13,5,117,8,8,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 013 Service/verzorgingscentrum Antonius,0772::SB13,,3039,992,3,2,0,0,3,885,108,0,1,0,0,0,996,220,162,47,61,84,56,57,54,46,25,13,9,150,0,7,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 014 Archipel Eerdbrand,0772::SB14,,2872,726,2,0,5,0,0,672,62,0,0,5,0,0,733,75,67,80,60,59,62,52,49,30,18,12,17,120,17,6,2
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 015 Basisschool de Schelp,0772::SB15,,1414,671,1,3,0,0,1,593,81,0,0,0,0,0,675,42,32,93,93,33,56,54,48,22,19,10,10,90,62,6,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 016 Wijkcentrum 't Trefpunt,0772::SB16,,1573,950,5,6,0,0,2,861,97,0,1,0,0,0,960,100,70,111,107,46,64,85,68,35,30,15,24,142,43,7,3
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 017 Wijkcentrum 't Trefpunt,0772::SB17,,2247,895,1,3,1,0,0,833,65,0,1,0,0,0,898,79,66,105,82,54,67,87,71,32,23,14,24,140,34,10,7
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 018 Basisschool Cornelis Jetses,0772::SB18,,2526,474,2,5,0,1,1,424,55,0,1,0,0,0,480,45,41,56,41,25,49,45,28,11,4,7,6,66,47,2,1
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 019 Jurriaan Pels wooncentrum,0772::SB19,,1294,619,2,3,0,1,0,589,34,0,1,0,0,0,623,55,67,61,43,38,60,57,73,28,12,9,17,75,6,14,4
's-Hertogenbosch,Eindhoven,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 020 Basisschool de Korenaar,0772::SB20,,2840,539,3,6,0,0,0,503,45,0,0,0,0,0,548,33,34,78,54,37,55,57,33,25,15,9,9,63,31,4,2
