contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
Tilburg,Alphen-Chaam,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Hoogt,1723::SB1,5131 AJ,1586,1039,4,2,1,0,0,931,116,1,0,2,0,0,1047,196,291,53,46,63,51,55,55,23,10,21,3,149,4,16,3
Tilburg,Alphen-Chaam,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Cultureel Centrum den Heuvel,1723::SB2,5131 AP,1673,865,0,0,0,0,0,786,79,0,0,0,0,0,865,137,220,57,59,68,39,41,36,25,4,20,3,145,2,7,2
Tilburg,Alphen-Chaam,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau SKAC, Taxandriagebouw",1723::SB3,4861 AT,1955,1132,6,2,0,0,0,991,149,0,0,0,0,0,1140,231,272,62,60,93,48,51,40,47,2,19,3,144,0,7,53
Tilburg,Alphen-Chaam,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Geerhof,1723::SB4,4861 AR,1654,1014,5,1,0,2,0,887,135,0,0,2,0,0,1022,175,245,53,63,72,36,62,42,29,10,21,3,152,1,3,47
Tilburg,Alphen-Chaam,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Leeuwerik,1723::SB5,4855 AK,1072,674,0,1,0,0,0,598,77,0,0,0,0,0,675,153,167,32,42,52,21,36,24,33,6,15,3,82,0,3,5
